modelo,reamostragem,parametros,threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,tempo_treino_s,tempo_inferencia_por_amostra_ms
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 1.0, 'fit_prior': True}",0.5,0.8809766022380467,0.21973929236499068,0.4154929577464789,0.2874543239951279,0.9620831429876656,0.909522781256748,0.935064935064935,0.6112596295300314,0.7897413633170215,0.21023712209457074,0.5845070422535211,0.090477218743252,0.01064087600025232,0.0009572498474381666
Bernoulli Naive Bayes,com undersampling,"{'alpha': 0.1, 'fit_prior': True}",0.5,0.7977619532044761,0.18018018018018017,0.704225352112676,0.28694404591104733,0.9779237844940867,0.8034981645432951,0.8821716453295401,0.5845578456202937,0.8098602954370577,0.23802965140890361,0.29577464788732394,0.19650183545670483,0.002789644999211305,0.000617144048718583
Logistic Regression,com undersampling,"{'C': 5.0, 'class_weight': 'balanced', 'penalty': 'l1'}",0.5,0.794913530010173,0.17907801418439717,0.7112676056338029,0.28611898016997167,0.9783469764985476,0.8000431872165839,0.880256593014968,0.5831877865924698,0.8150990264628148,0.24866015654313794,0.2887323943661972,0.19995681278341612,0.7878191589989001,0.00023557538171556976
Logistic Regression,com undersampling,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'l2'}",0.5,0.7916581892166836,0.17770034843205576,0.7183098591549296,0.2849162011173184,0.9787629413326254,0.7961563377240337,0.8780662062395809,0.5814912036784496,0.8186372608355813,0.2749529719604634,0.28169014084507044,0.20384366227596631,0.05728897100016184,0.00022657721270598653
Logistic Regression,com undersampling,"{'C': 0.05, 'class_weight': None, 'penalty': 'l2'}",0.5,0.9291963377416074,0.3415841584158416,0.24295774647887325,0.2839506172839506,0.9543814979842987,0.9712805009717124,0.9627568493150684,0.6233537332995095,0.7782488496081216,0.24681415862338016,0.7570422535211268,0.028719499028287628,0.016204887000640156,0.00017866836225110394
Bernoulli Naive Bayes,com undersampling,"{'alpha': 2.0, 'fit_prior': True}",0.5,0.8417090539165819,0.19201995012468828,0.5422535211267606,0.283609576427256,0.9683929005592026,0.8600734182681926,0.911024702653248,0.597317139540252,0.7773938491671254,0.20495850136607174,0.45774647887323944,0.1399265817318074,0.002823835000526742,0.0006141656154843894
Logistic Regression,com undersampling,"{'C': 10.0, 'class_weight': 'balanced', 'penalty': 'l1'}",0.5,0.7920651068158698,0.1757469244288225,0.704225352112676,0.2812939521800281,0.977760127084988,0.7974519542215505,0.8784490960989534,0.5798715241394907,0.8044413642294275,0.21611510060951042,0.29577464788732394,0.2025480457784496,1.4752486939996743,0.00022445269599784308
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 0.1, 'fit_prior': False}",0.5,0.7784333672431333,0.17142857142857143,0.7394366197183099,0.2783300198807157,0.9799457994579945,0.7808248758367523,0.8691263069342627,0.5737281634074892,0.8140547017801041,0.23319486593515756,0.2605633802816901,0.2191751241632477,0.007565468999018776,0.0006277662259011386
Bernoulli Naive Bayes,com undersampling,"{'alpha': 1.0, 'fit_prior': True}",0.5,0.8034587995930824,0.17647058823529413,0.6549295774647887,0.27802690582959644,0.9746179746179746,0.8125674800259123,0.8862458784738577,0.5821363921517271,0.7896961231869732,0.21867160307691186,0.34507042253521125,0.18743251997408766,0.0028501060005510226,0.0006350307222166774
Logistic Regression,sem reamostragem,"{'C': 10.0, 'class_weight': None, 'penalty': 'l2'}",0.5,0.9395727365208545,0.44881889763779526,0.2007042253521127,0.2773722627737226,0.9525898078529658,0.9848844741956381,0.9684679902325087,0.6229201265031157,0.8412405984166714,0.33258983551320853,0.7992957746478874,0.015115525804361908,0.35516485500011186,0.00020555340793786242
Random Forest,com undersampling,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,0.9426246185147508,0.5094339622641509,0.19014084507042253,0.27692307692307694,0.9521730089415679,0.9887713236881883,0.9701271186440678,0.6235250977835723,0.8132050237073488,0.30694830515425225,0.8098591549295775,0.011228676311811703,2.7911502589995507,0.020191412614221475
Logistic Regression,sem reamostragem,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1'}",0.5,0.7841302136317396,0.1710414902624894,0.7112676056338029,0.2757679180887372,0.9780396357793251,0.7885985748218527,0.8731619844590556,0.5744649512738964,0.8140372139987408,0.27248853117514493,0.2887323943661972,0.21140142517814728,0.38605690999975195,0.0001541766021875589
Bernoulli Naive Bayes,com undersampling,"{'alpha': 0.5, 'fit_prior': True}",0.5,0.7912512716174974,0.17226148409893993,0.6866197183098591,0.2754237288135593,0.9764736981231826,0.7976678903044698,0.8780603755645353,0.5767420521890473,0.7987867281425542,0.22928766449417073,0.31338028169014087,0.20233210969553012,0.002858133000700036,0.0006252850455256598
Random Forest,com undersampling,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.9420142421159715,0.4954128440366973,0.19014084507042253,0.2748091603053435,0.9521431543903454,0.9881235154394299,0.9697997244887147,0.6223044423970291,0.8120797229935433,0.3085412561647113,0.8098591549295775,0.011876484560570071,2.4379850340010307,0.011638546693704867
Logistic Regression,sem reamostragem,"{'C': 5.0, 'class_weight': None, 'penalty': 'l1'}",0.5,0.9387589013224822,0.4351145038167939,0.2007042253521127,0.2746987951807229,0.9525501672240803,0.9840207298639603,0.9680297397769517,0.6213642674788373,0.8414534931463103,0.3282536000482726,0.7992957746478874,0.015979270136039732,2.9842191899988393,0.0001617344861351795
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 0.5, 'fit_prior': False}",0.5,0.7707019328585961,0.16574147501982553,0.7359154929577465,0.27055016181229774,0.9794745484400657,0.7728352407687324,0.863971031985516,0.5672605968989068,0.8013783413067477,0.22201610366711327,0.2640845070422535,0.22716475923126755,0.007330357999308035,0.000606457782414361
Logistic Regression,sem reamostragem,"{'C': 5.0, 'class_weight': None, 'penalty': 'l2'}",0.5,0.9420142421159715,0.49523809523809526,0.18309859154929578,0.26735218508997427,0.9517671517671518,0.9885553876052688,0.9698125198601844,0.6185823524750793,0.8418686378691063,0.3397382381895471,0.8169014084507042,0.011444612394731159,0.18807967999964603,0.0001494284839700246
Bernoulli Naive Bayes,com undersampling,"{'alpha': 2.0, 'fit_prior': False}",0.5,0.7900305188199389,0.16666666666666666,0.6584507042253521,0.26600284495021337,0.9744265752702347,0.7980997624703088,0.8774928774928775,0.5717478612215454,0.7773938491671254,0.20495850136607174,0.3415492957746479,0.20190023752969122,0.0028577909997693496,0.0006056494401774482
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 1.0, 'fit_prior': False}",0.5,0.7788402848423195,0.16401673640167364,0.6901408450704225,0.2650439486139283,0.9763440860215054,0.7842798531634636,0.8698359477906837,0.567439948202306,0.7897413633170215,0.21023712209457074,0.30985915492957744,0.2157201468365364,0.007486915999834309,0.0006066378431206632
Bernoulli Naive Bayes,com undersampling,"{'alpha': 0.01, 'fit_prior': False}",0.5,0.7633774160732452,0.16114109483423283,0.7359154929577465,0.26438962681846934,0.9792703150912107,0.7650615417836321,0.8590132137228755,0.5617014202706725,0.8144687059954197,0.24226163062882772,0.2640845070422535,0.23493845821636797,0.002823614000590169,0.0006117639876759989
Bernoulli Naive Bayes,sem reamostragem,"{'alpha': 2.0, 'fit_prior': True}",0.5,0.8988809766022381,0.2248062015503876,0.30633802816901406,0.2593144560357675,0.9564929328621908,0.9352191751241632,0.9457364341085271,0.6025254450721473,0.7686191647835621,0.19327222151536042,0.6936619718309859,0.06478082487583675,0.007907709999926738,0.0006526976603144658
Extra Trees,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.9462868769074263,0.6428571428571429,0.15845070422535212,0.2542372881355932,0.9506707946336429,0.9946015979270136,0.9721401435204727,0.6131887158280329,0.8440964291471131,0.40971479240076564,0.8415492957746479,0.005398402072986396,10.70633853199979,0.017717380468142176
